id,FirstName,LastName,Major,Season,Year,email
28,Lauraine,Struan,CSC,Fall,2023,Lauraine.Struan@email.com
29,Jacquelin,Capeloff,EE,Spring,2025,Jacquelin.Capeloff@email.com
30,Cynthia,Fraine,GEOE,Summer,2025,Cynthia.Fraine@email.com
31,Almeria,O'Lagene,GEO,Winter,2024,Almeria.O'Lagene@email.com
32,Odelinda,Philippeaux,IS,Fall,2024,Odelinda.Philippeaux@email.com
33,Brande,Joney,MATH,Spring,2025,Brande.Joney@email.com
34,Ogdon,Quodling,ME,Summer,2023,Ogdon.Quodling@email.com
35,Ted,Digle,MET,Winter,2023,Ted.Digle@email.com
36,Terrence,Gorvette,PHYS,Fall,2023,Terrence.Gorvette@email.com
37,Mathilde,O'Shiel,STS,Spring,2025,Mathilde.O'Shiel@email.com
38,Korney,Sparling,MINE,Summer,2023,Korney.Sparling@email.com
39,Horton,Greenrodd,ATMO,Winter,2022,Horton.Greenrodd@email.com
40,Sauveur,Rodrigo,BIO,Fall,2024,Sauveur.Rodrigo@email.com
41,Leah,Exposito,BME,Spring,2025,Leah.Exposito@email.com
42,Torry,Roisen,BMT,Summer,2023,Torry.Roisen@email.com
43,Bendix,Norquoy,CHEME,Winter,2024,Bendix.Norquoy@email.com
44,Blisse,Reilingen,CHEM,Fall,2024,Blisse.Reilingen@email.com
45,Barbey,Groundwator,CE,Spring,2025,Barbey.Groundwator@email.com
46,Evonne,Daen,CENG,Summer,2025,Evonne.Daen@email.com
47,Raleigh,Darnody,CSC,Winter,2022,Raleigh.Darnody@email.com
48,Alli,Venable,EE,Fall,2022,Alli.Venable@email.com
49,Tina,McCahey,GEOE,Spring,2023,Tina.McCahey@email.com
50,Portie,Blaes,GEO,Summer,2025,Portie.Blaes@email.com
51,Paige,Giffard,IS,Winter,2022,Paige.Giffard@email.com
52,Drusy,Barchrameev,MATH,Fall,2023,Drusy.Barchrameev@email.com
53,Quincy,Hanvey,ME,Spring,2025,Quincy.Hanvey@email.com
54,Karine,Chill,MET,Summer,2023,Karine.Chill@email.com
55,Tim,Rama,PHYS,Winter,2024,Tim.Rama@email.com
56,Ward,Farnon,STS,Fall,2024,Ward.Farnon@email.com
57,Kristos,Bough,MINE,Spring,2024,Kristos.Bough@email.com
58,Slade,Benley,ATMO,Summer,2024,Slade.Benley@email.com
59,Aloisia,Rude,BIO,Winter,2023,Aloisia.Rude@email.com
60,Booth,Charlson,BME,Fall,2025,Booth.Charlson@email.com
61,Rowe,Domange,BMT,Spring,2025,Rowe.Domange@email.com
62,Cacilia,Janicijevic,CHEME,Summer,2025,Cacilia.Janicijevic@email.com
63,Michele,Labitt,CHEM,Winter,2022,Michele.Labitt@email.com
64,Addia,St Angel,CE,Fall,2024,Addia.St Angel@email.com
65,Avie,Malam,CENG,Spring,2022,Avie.Malam@email.com
66,Charles,Heustace,CSC,Summer,2024,Charles.Heustace@email.com
67,Patience,Kerss,EE,Winter,2023,Patience.Kerss@email.com
68,Dominik,Bocken,GEOE,Fall,2024,Dominik.Bocken@email.com
69,Fabien,Annett,GEO,Spring,2025,Fabien.Annett@email.com
70,Eugen,Shervil,IS,Summer,2024,Eugen.Shervil@email.com
71,Harrie,Kepp,MATH,Winter,2023,Harrie.Kepp@email.com
72,Nat,Hakking,ME,Fall,2022,Nat.Hakking@email.com
73,Eyde,Hamal,MET,Spring,2023,Eyde.Hamal@email.com
74,Haskel,Tonsley,PHYS,Summer,2025,Haskel.Tonsley@email.com
75,Cordell,Howieson,STS,Winter,2022,Cordell.Howieson@email.com
76,Raffarty,Daber,MINE,Fall,2024,Raffarty.Daber@email.com
77,Lorettalorna,Bresson,ATMO,Spring,2022,Lorettalorna.Bresson@email.com
78,Mufi,Nani,BIO,Summer,2022,Mufi.Nani@email.com
79,Skipp,Rampley,BME,Winter,2024,Skipp.Rampley@email.com
80,Pauletta,Ranvoise,BMT,Fall,2024,Pauletta.Ranvoise@email.com
81,Kati,Erwin,CHEME,Spring,2023,Kati.Erwin@email.com
82,Darda,Ivanishev,CHEM,Summer,2022,Darda.Ivanishev@email.com
83,Jedediah,Ridgewell,CE,Winter,2024,Jedediah.Ridgewell@email.com
84,Miltie,Hugland,CENG,Fall,2024,Miltie.Hugland@email.com
85,Joya,Nassy,CSC,Spring,2022,Joya.Nassy@email.com
86,Odey,Scafe,EE,Summer,2022,Odey.Scafe@email.com
87,Amalle,Orrett,GEOE,Winter,2023,Amalle.Orrett@email.com
88,Hewett,Rizzardini,GEO,Fall,2023,Hewett.Rizzardini@email.com
89,Meghan,Lonergan,IS,Spring,2025,Meghan.Lonergan@email.com
90,Ermengarde,Caberas,MATH,Summer,2024,Ermengarde.Caberas@email.com
91,Melina,Webley,ME,Winter,2025,Melina.Webley@email.com
92,Augustine,Parramore,MET,Fall,2022,Augustine.Parramore@email.com
93,Margo,January,PHYS,Spring,2023,Margo.January@email.com
94,Wells,MacKimm,STS,Summer,2024,Wells.MacKimm@email.com
95,Bradney,Mineghelli,MINE,Winter,2024,Bradney.Mineghelli@email.com
96,Georas,Seres,ATMO,Fall,2025,Georas.Seres@email.com
97,Gavrielle,Cordaroy,BIO,Spring,2025,Gavrielle.Cordaroy@email.com
98,Maureen,Caslett,BME,Summer,2025,Maureen.Caslett@email.com
99,Alexandros,Bleibaum,BMT,Winter,2022,Alexandros.Bleibaum@email.com
100,Kristien,Bollins,CHEME,Fall,2025,Kristien.Bollins@email.com
101,Hartwell,Burfitt,CHEM,Spring,2022,Hartwell.Burfitt@email.com
102,Waite,Accombe,CE,Summer,2022,Waite.Accombe@email.com
103,Juliana,Faye,CENG,Winter,2022,Juliana.Faye@email.com
104,Auberon,Berrie,CSC,Fall,2022,Auberon.Berrie@email.com
105,Heall,Gerling,EE,Spring,2023,Heall.Gerling@email.com
106,Tiffany,Croall,GEOE,Summer,2025,Tiffany.Croall@email.com
107,Britteny,Goundrill,GEO,Winter,2024,Britteny.Goundrill@email.com
108,Sid,Markovic,IS,Fall,2025,Sid.Markovic@email.com
109,Gene,Killingback,MATH,Spring,2024,Gene.Killingback@email.com
110,Tades,Lippiett,ME,Summer,2025,Tades.Lippiett@email.com
111,Nonnah,Ubank,MET,Winter,2025,Nonnah.Ubank@email.com
112,Siusan,Lampe,PHYS,Fall,2024,Siusan.Lampe@email.com
113,Cherish,Guiver,STS,Spring,2024,Cherish.Guiver@email.com
114,Norine,Blaiklock,MINE,Summer,2022,Norine.Blaiklock@email.com
115,Gilbert,Friend,ATMO,Winter,2024,Gilbert.Friend@email.com
116,Leelah,McNeillie,BIO,Fall,2024,Leelah.McNeillie@email.com
117,Clair,Kivelle,BME,Spring,2023,Clair.Kivelle@email.com
118,Lonnie,Knee,BMT,Summer,2025,Lonnie.Knee@email.com
119,Dionisio,Soloway,CHEME,Winter,2022,Dionisio.Soloway@email.com
120,Eli,Yegoshin,CHEM,Fall,2025,Eli.Yegoshin@email.com
121,Oona,Loweth,CE,Spring,2024,Oona.Loweth@email.com
122,Lizzy,Tomalin,CENG,Summer,2024,Lizzy.Tomalin@email.com
123,Keary,Manifield,CSC,Winter,2023,Keary.Manifield@email.com
124,Marven,Briztman,EE,Fall,2023,Marven.Briztman@email.com
125,Sigfrid,Avramovic,GEOE,Spring,2024,Sigfrid.Avramovic@email.com
126,Laetitia,Casaletto,GEO,Summer,2024,Laetitia.Casaletto@email.com
127,Daniela,Ten Broek,IS,Winter,2022,Daniela.Ten Broek@email.com
128,Tammi,Craig,MATH,Fall,2025,Tammi.Craig@email.com
129,Guilbert,Rathborne,ME,Spring,2022,Guilbert.Rathborne@email.com
130,Storm,Fisbburne,MET,Summer,2025,Storm.Fisbburne@email.com
131,Torre,Laxton,PHYS,Winter,2025,Torre.Laxton@email.com
132,Onofredo,Pearcy,STS,Fall,2022,Onofredo.Pearcy@email.com
133,Birgitta,McGlone,MINE,Spring,2022,Birgitta.McGlone@email.com
134,Raff,Yelland,ATMO,Summer,2022,Raff.Yelland@email.com
135,Teddie,Rylatt,BIO,Winter,2022,Teddie.Rylatt@email.com
136,Alaster,Canniffe,BME,Fall,2025,Alaster.Canniffe@email.com
137,Debbie,Laurie,BMT,Spring,2025,Debbie.Laurie@email.com
138,Leelah,Musker,CHEME,Summer,2024,Leelah.Musker@email.com
139,Zenia,Bernardino,CHEM,Winter,2023,Zenia.Bernardino@email.com
140,Enrichetta,Lampett,CE,Fall,2024,Enrichetta.Lampett@email.com
141,Timothea,Clemits,CENG,Spring,2025,Timothea.Clemits@email.com
142,Margalo,Storah,CSC,Summer,2022,Margalo.Storah@email.com
143,Wheeler,Jurca,EE,Winter,2025,Wheeler.Jurca@email.com
144,Hayward,Aimer,GEOE,Fall,2022,Hayward.Aimer@email.com
145,Alistair,Hyams,GEO,Spring,2022,Alistair.Hyams@email.com
146,Katharyn,Domel,IS,Summer,2022,Katharyn.Domel@email.com
147,Otto,Busse,MATH,Winter,2023,Otto.Busse@email.com
148,Henderson,Pettis,ME,Fall,2022,Henderson.Pettis@email.com
149,Colan,Minchinden,MET,Spring,2025,Colan.Minchinden@email.com
150,Bart,Espley,PHYS,Summer,2025,Bart.Espley@email.com
151,Christine,McGaffey,STS,Winter,2023,Christine.McGaffey@email.com
152,Queenie,Baelde,MINE,Fall,2022,Queenie.Baelde@email.com
153,Jesse,Smitton,ATMO,Spring,2022,Jesse.Smitton@email.com
154,Tracey,Schutze,BIO,Summer,2025,Tracey.Schutze@email.com
155,Sarine,Sussans,BME,Winter,2022,Sarine.Sussans@email.com
156,Austin,Tratton,BMT,Fall,2024,Austin.Tratton@email.com
157,Legra,Spragg,CHEME,Spring,2025,Legra.Spragg@email.com
158,Maryanne,Dowse,CHEM,Summer,2024,Maryanne.Dowse@email.com
159,Aleece,Mattiussi,CE,Winter,2022,Aleece.Mattiussi@email.com
160,Selene,Girkins,CENG,Fall,2025,Selene.Girkins@email.com
161,Mark,Fuzzard,CSC,Spring,2025,Mark.Fuzzard@email.com
162,Letty,Mesant,EE,Summer,2023,Letty.Mesant@email.com
163,Ebonee,Mouatt,GEOE,Winter,2025,Ebonee.Mouatt@email.com
164,Trista,Berkeley,GEO,Fall,2022,Trista.Berkeley@email.com
165,Milt,Pallis,IS,Spring,2023,Milt.Pallis@email.com
166,Asa,Neesam,MATH,Summer,2024,Asa.Neesam@email.com
167,Orelie,Downes,ME,Winter,2024,Orelie.Downes@email.com
168,Annalee,Longbone,MET,Fall,2025,Annalee.Longbone@email.com
169,Teena,Kadd,PHYS,Spring,2024,Teena.Kadd@email.com
170,Bunny,Parsley,STS,Summer,2023,Bunny.Parsley@email.com
171,Aprilette,Castella,MINE,Winter,2022,Aprilette.Castella@email.com
172,Nilson,Kepp,ATMO,Fall,2024,Nilson.Kepp@email.com
173,Donnajean,Goode,BIO,Spring,2022,Donnajean.Goode@email.com
174,Raina,Thing,BME,Summer,2023,Raina.Thing@email.com
175,Spense,Gillings,BMT,Winter,2025,Spense.Gillings@email.com
176,Delmor,Bonallack,CHEME,Fall,2023,Delmor.Bonallack@email.com
177,Nate,Rafe,CHEM,Spring,2024,Nate.Rafe@email.com
178,Stanfield,Castilla,CE,Summer,2023,Stanfield.Castilla@email.com
179,Arther,Slatcher,CENG,Winter,2023,Arther.Slatcher@email.com
180,Gifford,Breznovic,CSC,Fall,2024,Gifford.Breznovic@email.com
181,Leticia,Gostall,EE,Spring,2025,Leticia.Gostall@email.com
182,Mona,Lempke,GEOE,Summer,2025,Mona.Lempke@email.com
183,Rois,Jeays,GEO,Winter,2023,Rois.Jeays@email.com
184,Valentina,Minelli,IS,Fall,2025,Valentina.Minelli@email.com
185,Bethany,Bleddon,MATH,Spring,2024,Bethany.Bleddon@email.com
186,Chancey,Nelsey,ME,Summer,2023,Chancey.Nelsey@email.com
187,Ingar,Speachley,MET,Winter,2025,Ingar.Speachley@email.com
188,Malva,L'Hommee,PHYS,Fall,2024,Malva.L'Hommee@email.com
189,Carine,Carless,STS,Spring,2025,Carine.Carless@email.com
190,Alistair,Ostrich,MINE,Summer,2025,Alistair.Ostrich@email.com
191,Odele,Andryunin,ATMO,Winter,2023,Odele.Andryunin@email.com
192,Celine,Aspray,BIO,Fall,2025,Celine.Aspray@email.com
193,Ransell,Frankom,BME,Spring,2023,Ransell.Frankom@email.com
194,Fairlie,Willishire,BMT,Summer,2022,Fairlie.Willishire@email.com
195,Richmond,Reneke,CHEME,Winter,2025,Richmond.Reneke@email.com
196,Florrie,Walasik,CHEM,Fall,2025,Florrie.Walasik@email.com
197,Eddy,Burthom,CE,Spring,2023,Eddy.Burthom@email.com
198,Carrissa,Brands,CENG,Summer,2023,Carrissa.Brands@email.com
199,Donny,Dimbleby,CSC,Winter,2022,Donny.Dimbleby@email.com
200,Leeann,Dew,EE,Fall,2025,Leeann.Dew@email.com
201,Tedmund,Blakeston,GEOE,Spring,2022,Tedmund.Blakeston@email.com
202,Darrin,Wall,GEO,Summer,2025,Darrin.Wall@email.com
203,Alli,Plaister,IS,Winter,2022,Alli.Plaister@email.com
204,Andris,Quennell,MATH,Fall,2025,Andris.Quennell@email.com
205,Grayce,Walder,ME,Spring,2023,Grayce.Walder@email.com
206,Alair,Honack,MET,Summer,2023,Alair.Honack@email.com
207,Arlyn,Doorey,PHYS,Winter,2022,Arlyn.Doorey@email.com
208,Lindsey,Avery,STS,Fall,2024,Lindsey.Avery@email.com
209,Brook,Rollason,MINE,Spring,2024,Brook.Rollason@email.com
210,Katuscha,Pickworth,ATMO,Summer,2023,Katuscha.Pickworth@email.com
211,Ines,Vasilevich,BIO,Winter,2023,Ines.Vasilevich@email.com
212,Harlan,Zamorrano,BME,Fall,2024,Harlan.Zamorrano@email.com
213,Ramsay,Corrington,BMT,Spring,2023,Ramsay.Corrington@email.com
214,Bibi,Dabrowski,CHEME,Summer,2023,Bibi.Dabrowski@email.com
215,Vinita,Stener,CHEM,Winter,2023,Vinita.Stener@email.com
216,Norton,Ayllett,CE,Fall,2025,Norton.Ayllett@email.com
217,Lorraine,Harcombe,CENG,Spring,2024,Lorraine.Harcombe@email.com
218,Toddy,Jaeggi,CSC,Summer,2023,Toddy.Jaeggi@email.com
219,Cherilyn,Coster,EE,Winter,2024,Cherilyn.Coster@email.com
220,Brandtr,MacKinnon,GEOE,Fall,2024,Brandtr.MacKinnon@email.com
221,Omero,Izkovitch,GEO,Spring,2023,Omero.Izkovitch@email.com
222,Claude,De Cruce,IS,Summer,2023,Claude.De Cruce@email.com
223,Gamaliel,Caplan,MATH,Winter,2022,Gamaliel.Caplan@email.com
224,Deeyn,Dymott,ME,Fall,2023,Deeyn.Dymott@email.com
225,Tremaine,Torpie,MET,Spring,2024,Tremaine.Torpie@email.com
226,Carina,Eastbury,PHYS,Summer,2023,Carina.Eastbury@email.com
227,Tish,Dafforne,STS,Winter,2024,Tish.Dafforne@email.com
228,Luisa,Arlott,MINE,Fall,2023,Luisa.Arlott@email.com
229,Berte,Derisley,ATMO,Spring,2025,Berte.Derisley@email.com
230,Glen,McLenaghan,BIO,Summer,2025,Glen.McLenaghan@email.com
231,Blayne,Leynagh,BME,Winter,2024,Blayne.Leynagh@email.com
232,Jeannie,Siret,BMT,Fall,2024,Jeannie.Siret@email.com
233,Gae,Kos,CHEME,Spring,2024,Gae.Kos@email.com
234,Kathie,Atter,CHEM,Summer,2025,Kathie.Atter@email.com
235,Robert,Ferrao,CE,Winter,2022,Robert.Ferrao@email.com
236,Parry,Adamovsky,CENG,Fall,2024,Parry.Adamovsky@email.com
237,Nicholas,Beachamp,CSC,Spring,2024,Nicholas.Beachamp@email.com
238,Robinetta,Welden,EE,Summer,2025,Robinetta.Welden@email.com
239,Barnabas,Stud,GEOE,Winter,2022,Barnabas.Stud@email.com
240,Gradey,Squibe,GEO,Fall,2022,Gradey.Squibe@email.com
241,Tibold,Hansbury,IS,Spring,2023,Tibold.Hansbury@email.com
242,Opal,Kane,MATH,Summer,2022,Opal.Kane@email.com
243,Miller,Dogerty,ME,Winter,2025,Miller.Dogerty@email.com
244,Tadd,Lighton,MET,Fall,2022,Tadd.Lighton@email.com
245,Sandi,Antoniutti,PHYS,Spring,2022,Sandi.Antoniutti@email.com
246,Benton,Hardiman,STS,Summer,2022,Benton.Hardiman@email.com
247,Sonnie,Darkin,MINE,Winter,2023,Sonnie.Darkin@email.com
248,Rafaelia,Delagua,ATMO,Fall,2022,Rafaelia.Delagua@email.com
249,Aymer,Ashfold,BIO,Spring,2025,Aymer.Ashfold@email.com
250,Linda,Baelde,BME,Summer,2022,Linda.Baelde@email.com
251,Layne,Lievesley,BMT,Winter,2024,Layne.Lievesley@email.com
252,Venus,Sullivan,CHEME,Fall,2022,Venus.Sullivan@email.com
253,Rochette,Southeran,CHEM,Spring,2024,Rochette.Southeran@email.com
254,Guss,Crosdill,CE,Summer,2025,Guss.Crosdill@email.com
255,Neale,Lindblom,CENG,Winter,2022,Neale.Lindblom@email.com
256,Danielle,Dainty,CSC,Fall,2023,Danielle.Dainty@email.com
257,Moishe,Inge,EE,Spring,2022,Moishe.Inge@email.com
258,Tonia,Eronie,GEOE,Summer,2025,Tonia.Eronie@email.com
259,Blakelee,Cobson,GEO,Winter,2022,Blakelee.Cobson@email.com
260,Gusta,Agglione,IS,Fall,2022,Gusta.Agglione@email.com
261,Salomo,Paulazzi,MATH,Spring,2025,Salomo.Paulazzi@email.com
262,Ethelred,Burris,ME,Summer,2024,Ethelred.Burris@email.com
263,Filmore,Lideard,MET,Winter,2023,Filmore.Lideard@email.com
264,Waldon,Scolts,PHYS,Fall,2024,Waldon.Scolts@email.com
265,Martina,Cicccitti,STS,Spring,2025,Martina.Cicccitti@email.com
266,Goraud,Durrett,MINE,Summer,2024,Goraud.Durrett@email.com
267,Ardelis,Muncer,ATMO,Winter,2023,Ardelis.Muncer@email.com
268,Jeffrey,Marchello,BIO,Fall,2025,Jeffrey.Marchello@email.com
269,Jessamyn,Lobell,BME,Spring,2023,Jessamyn.Lobell@email.com
270,Randy,Bremeyer,BMT,Summer,2025,Randy.Bremeyer@email.com
271,Larissa,Writer,CHEME,Winter,2022,Larissa.Writer@email.com
272,Dniren,Poynor,CHEM,Fall,2025,Dniren.Poynor@email.com
273,Karena,Heinemann,CE,Spring,2024,Karena.Heinemann@email.com
274,Kipp,Leet,CENG,Summer,2025,Kipp.Leet@email.com
275,Dun,Tickner,CSC,Winter,2024,Dun.Tickner@email.com
276,Hetty,Ambrosini,EE,Fall,2024,Hetty.Ambrosini@email.com
277,Elva,Leversuch,GEOE,Spring,2023,Elva.Leversuch@email.com
278,Tonye,Tylor,GEO,Summer,2024,Tonye.Tylor@email.com
279,Gunar,Gartenfeld,IS,Winter,2022,Gunar.Gartenfeld@email.com
280,Ekaterina,Darton,MATH,Fall,2024,Ekaterina.Darton@email.com
281,Flinn,Bridell,ME,Spring,2022,Flinn.Bridell@email.com
282,Chet,Normanvell,MET,Summer,2024,Chet.Normanvell@email.com
283,Yvor,Folonin,PHYS,Winter,2022,Yvor.Folonin@email.com
284,Carlie,Cawker,STS,Fall,2023,Carlie.Cawker@email.com
285,Andra,Lambswood,MINE,Spring,2024,Andra.Lambswood@email.com
286,Faustina,Hairyes,ATMO,Summer,2024,Faustina.Hairyes@email.com
287,Elyse,Clarridge,BIO,Winter,2025,Elyse.Clarridge@email.com
288,Kirbee,Trase,BME,Fall,2025,Kirbee.Trase@email.com
289,Titus,Jedrasik,BMT,Spring,2023,Titus.Jedrasik@email.com
290,Melosa,Mobley,CHEME,Summer,2022,Melosa.Mobley@email.com
291,Erhart,Spalls,CHEM,Winter,2022,Erhart.Spalls@email.com
292,Bucky,Stammer,CE,Fall,2024,Bucky.Stammer@email.com
293,Sandra,Whereat,CENG,Spring,2023,Sandra.Whereat@email.com
294,Silvano,Guidelli,CSC,Summer,2024,Silvano.Guidelli@email.com
295,Lorenzo,Bairnsfather,EE,Winter,2025,Lorenzo.Bairnsfather@email.com
296,Jeff,Mackilpatrick,GEOE,Fall,2024,Jeff.Mackilpatrick@email.com
297,Brendon,Chimenti,GEO,Spring,2022,Brendon.Chimenti@email.com
298,Karon,Rusk,IS,Summer,2024,Karon.Rusk@email.com
299,Queenie,Cairney,MATH,Winter,2022,Queenie.Cairney@email.com
300,Tootsie,Cottam,ME,Fall,2023,Tootsie.Cottam@email.com
301,Anabella,Pierce,MET,Spring,2022,Anabella.Pierce@email.com
302,Antonie,Sell,PHYS,Summer,2025,Antonie.Sell@email.com
303,Jessalin,Geroldi,STS,Winter,2024,Jessalin.Geroldi@email.com
304,Devin,Kingsley,MINE,Fall,2022,Devin.Kingsley@email.com
305,Rudie,Frampton,ATMO,Spring,2023,Rudie.Frampton@email.com
306,Benedetto,Camies,BIO,Summer,2022,Benedetto.Camies@email.com
307,Biddie,Grece,BME,Winter,2022,Biddie.Grece@email.com
308,Floyd,Lawrence,BMT,Fall,2025,Floyd.Lawrence@email.com
309,Rooney,Schutze,CHEME,Spring,2025,Rooney.Schutze@email.com
310,Genevra,Connechie,CHEM,Summer,2023,Genevra.Connechie@email.com
311,Adlai,Mauger,CE,Winter,2022,Adlai.Mauger@email.com
312,Babb,Snelgar,CENG,Fall,2023,Babb.Snelgar@email.com
313,Tobias,Marconi,CSC,Spring,2022,Tobias.Marconi@email.com
314,Colly,Shipway,EE,Summer,2023,Colly.Shipway@email.com
315,Alair,Duffie,GEOE,Winter,2024,Alair.Duffie@email.com
316,Imelda,Cominotti,GEO,Fall,2024,Imelda.Cominotti@email.com
317,Michelle,Raund,IS,Spring,2022,Michelle.Raund@email.com
318,Melodie,Frusher,MATH,Summer,2024,Melodie.Frusher@email.com
319,Codi,Chidley,ME,Winter,2022,Codi.Chidley@email.com
320,Taddeo,Dobrowolski,MET,Fall,2024,Taddeo.Dobrowolski@email.com
321,Ida,Bridgwood,PHYS,Spring,2025,Ida.Bridgwood@email.com
322,Riobard,Dauney,STS,Summer,2022,Riobard.Dauney@email.com
323,Burch,Waghorn,MINE,Winter,2024,Burch.Waghorn@email.com
324,Chauncey,Dowglass,ATMO,Fall,2022,Chauncey.Dowglass@email.com
325,Chiquia,MacKibbon,BIO,Spring,2023,Chiquia.MacKibbon@email.com
326,Elora,Buney,BME,Summer,2025,Elora.Buney@email.com
327,Theodora,Jacquet,BMT,Winter,2025,Theodora.Jacquet@email.com
328,Ruy,Blacklawe,CHEME,Fall,2023,Ruy.Blacklawe@email.com
329,Cthrine,Hairsnape,CHEM,Spring,2025,Cthrine.Hairsnape@email.com
330,Menard,Dagless,CE,Summer,2025,Menard.Dagless@email.com
331,Elisabeth,Currm,CENG,Winter,2024,Elisabeth.Currm@email.com
332,Sandro,Cruce,CSC,Fall,2023,Sandro.Cruce@email.com
333,Brit,Pozzi,EE,Spring,2022,Brit.Pozzi@email.com
334,Wadsworth,Stanway,GEOE,Summer,2022,Wadsworth.Stanway@email.com
335,Noell,Lessmare,GEO,Winter,2023,Noell.Lessmare@email.com
336,Jana,Levison,IS,Fall,2022,Jana.Levison@email.com
337,Concordia,Tudball,MATH,Spring,2024,Concordia.Tudball@email.com
338,Allyn,Stannah,ME,Summer,2024,Allyn.Stannah@email.com
339,King,Agget,MET,Winter,2025,King.Agget@email.com
340,Aubree,Braune,PHYS,Fall,2023,Aubree.Braune@email.com
341,Roxie,Fawloe,STS,Spring,2022,Roxie.Fawloe@email.com
342,Anya,Eagle,MINE,Summer,2024,Anya.Eagle@email.com
343,Susannah,Pesak,ATMO,Winter,2022,Susannah.Pesak@email.com
344,Zeke,Wigley,BIO,Fall,2024,Zeke.Wigley@email.com
345,Theressa,Bruckenthal,BME,Spring,2025,Theressa.Bruckenthal@email.com
346,Abagael,Sambles,BMT,Summer,2022,Abagael.Sambles@email.com
347,Arin,Morpeth,CHEME,Winter,2022,Arin.Morpeth@email.com
348,Evan,Lermit,CHEM,Fall,2023,Evan.Lermit@email.com
349,Randa,Gaven,CE,Spring,2023,Randa.Gaven@email.com
350,Geoffry,O' Clovan,CENG,Summer,2022,Geoffry.O' Clovan@email.com
351,Luciana,Drowsfield,CSC,Winter,2024,Luciana.Drowsfield@email.com
352,Cornie,Swigger,EE,Fall,2024,Cornie.Swigger@email.com
353,Adler,Dy,GEOE,Spring,2025,Adler.Dy@email.com
354,Amby,Cushe,GEO,Summer,2023,Amby.Cushe@email.com
355,Averyl,Wotherspoon,IS,Winter,2022,Averyl.Wotherspoon@email.com
356,Else,Swinglehurst,MATH,Fall,2024,Else.Swinglehurst@email.com
357,Rhoda,Ladell,ME,Spring,2025,Rhoda.Ladell@email.com
358,Waite,Peirson,MET,Summer,2025,Waite.Peirson@email.com
359,Vachel,Lugsdin,PHYS,Winter,2025,Vachel.Lugsdin@email.com
360,Marlin,Kohter,STS,Fall,2024,Marlin.Kohter@email.com
361,Mortimer,Walentynowicz,MINE,Spring,2025,Mortimer.Walentynowicz@email.com
362,Ludovico,Moberley,ATMO,Summer,2022,Ludovico.Moberley@email.com
363,Janifer,Longhorne,BIO,Winter,2022,Janifer.Longhorne@email.com
364,Cortney,Wilcot,BME,Fall,2025,Cortney.Wilcot@email.com
365,Caro,Skews,BMT,Spring,2025,Caro.Skews@email.com
366,Toiboid,Batkin,CHEME,Summer,2022,Toiboid.Batkin@email.com
367,Case,Breton,CHEM,Winter,2025,Case.Breton@email.com
368,Millie,Penlington,CE,Fall,2023,Millie.Penlington@email.com
369,Tiler,Langthorne,CENG,Spring,2025,Tiler.Langthorne@email.com
370,Valeda,Longworthy,CSC,Summer,2024,Valeda.Longworthy@email.com
371,Karim,Brummell,EE,Winter,2025,Karim.Brummell@email.com
372,Cass,Whitmarsh,GEOE,Fall,2025,Cass.Whitmarsh@email.com
373,Denys,Dupre,GEO,Spring,2024,Denys.Dupre@email.com
